rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.7602791157469604,0.0,0.802267417996952,0.0,2.9808807373046875,0.0,0.1221470832824707,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.7602791157469604,0.802267417996952
2,0.7592824226698196,0.0,0.8020002108482394,0.0,2.919485092163086,0.0,0.2237851619720459,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.7592824226698196,0.8020002108482394
3,0.757802397092765,0.0,0.8037748251036569,0.0,2.9794700145721436,0.0,0.17327237129211426,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.757802397092765,0.8037748251036569
4,0.7370511587587534,0.0,0.7783792534881079,0.0,0.7976994514465332,0.0,0.040372610092163086,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.7370511587587534,0.7783792534881079
5,0.7312390708218807,0.0,0.7820519000504634,0.0,0.41236305236816406,0.0,0.022859573364257812,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.7312390708218807,0.7820519000504634
6,0.7275936929497934,0.0,0.7617263120129079,0.0,0.6592962741851807,0.0,0.020875930786132812,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.7275936929497934,0.7617263120129079
7,0.7159536512386392,0.0,0.7348440918985817,0.0,2.3781797885894775,0.0,0.11926054954528809,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.7159536512386392,0.7348440918985817
8,0.7154981388732122,0.0,0.7348110716612006,0.0,2.4567956924438477,0.0,0.12338662147521973,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.7154981388732122,0.7348110716612006
9,0.7154947456290697,0.0,0.7342660816820454,0.0,2.3311147689819336,0.0,0.13360166549682617,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.7154947456290697,0.7342660816820454
10,0.3890298251628385,0.0,0.3873629206916704,0.0,2.4667892456054688,0.0,0.1204676628112793,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.3890298251628385,0.3873629206916704
10,0.3890298251628385,0.0,0.3873629206916704,0.0,2.441258192062378,0.0,0.11589384078979492,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.3890298251628385,0.3873629206916704
10,0.3890298251628385,0.0,0.3873629206916704,0.0,2.3034415245056152,0.0,0.1154019832611084,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.3890298251628385,0.3873629206916704
13,0.24598210064204218,0.0,0.24439693545793076,0.0,0.26547741889953613,0.0,0.014071464538574219,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.24598210064204218,0.24439693545793076
13,0.24598210064204218,0.0,0.24439693545793076,0.0,0.25818872451782227,0.0,0.013141632080078125,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.24598210064204218,0.24439693545793076
13,0.24598210064204218,0.0,0.24439693545793076,0.0,0.2532813549041748,0.0,0.013268470764160156,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.24598210064204218,0.24439693545793076
