rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.7511268258328102,0.0,0.7629515326326461,0.0,3.056727886199951,0.0,0.014773845672607422,0.0,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.7511268258328102,0.7629515326326461
2,0.7493640559534207,0.0,0.7617782558762042,0.0,4.890968322753906,0.0,0.022678375244140625,0.0,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.7493640559534207,0.7617782558762042
3,0.7489571262180872,0.0,0.7613036228895634,0.0,4.830730199813843,0.0,0.021933555603027344,0.0,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.7489571262180872,0.7613036228895634
4,0.7478883533509553,0.0,0.7679139268893608,0.0,11.913290023803711,0.0,0.023400545120239258,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.7478883533509553,0.7679139268893608
5,0.7470112869510988,0.0,0.7531510845706249,0.0,18.40156626701355,0.0,0.023520946502685547,0.0,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.7470112869510988,0.7531510845706249
6,0.7468195703292773,0.0,0.7683501962200766,0.0,11.521041870117188,0.0,0.023434162139892578,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.7468195703292773,0.7683501962200766
7,0.7465481754859118,0.0,0.7526254562462273,0.0,16.39695930480957,0.0,0.022624731063842773,0.0,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.7465481754859118,0.7526254562462273
8,0.7460292973336933,0.0,0.7659834554441833,0.0,11.197288513183594,0.0,0.04041767120361328,0.0,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.7460292973336933,0.7659834554441833
9,0.7448869299765496,0.0,0.7499936317516469,0.0,14.427608966827393,0.0,0.023234128952026367,0.0,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.7448869299765496,0.7499936317516469
